dataset,aggregate,n_plasma,n_region,myeloid_frac_inside,myeloid_bg,myeloid_log2enrich,x,y
RCC_BIG,170,11,170,0.1882,0.2358,-0.325,8116.180797230114,3898.8105912642045
RCC_BIG,171,162,678,0.1386,0.2358,-0.766,7552.999228395061,2767.243254484954
RCC_BIG,172,183,1051,0.3292,0.2358,0.481,7811.145489135075,4866.165097762978
RCC_BIG,173,134,1030,0.2874,0.2358,0.285,7555.817422895289,3491.2005050431435
RCC_BIG,174,10,163,0.319,0.2358,0.436,7969.179345703125,4750.85751953125
RCC_BIG,175,12,138,0.3261,0.2358,0.468,7976.440104166667,1880.5994771321614
RCC_BIG,176,42,381,0.3333,0.2358,0.499,8117.224958147322,1842.5489618210565
RCC_BIG,177,26,274,0.2299,0.2358,-0.037,7689.800443209135,2010.939204289363
RCC_BIG,178,12,166,0.3434,0.2358,0.542,7697.9643961588545,1876.998799641927
RCC_BIG,179,38,190,0.1053,0.2358,-1.164,7717.912199321546,2685.222476356908
RCC_BIG,180,20,173,0.2659,0.2358,0.173,7787.409741210938,2409.3547241210936
RCC_BIG,181,37,210,0.1619,0.2358,-0.543,7895.559253589527,1776.5688047666808
RCC_BIG,182,19,184,0.2717,0.2358,0.204,7918.160978618421,2119.3052014802633
RCC_BIG,183,132,846,0.247,0.2358,0.067,8256.834809274384,3544.6266460996685
RCC_BIG,184,10,83,0.1205,0.2358,-0.969,8196.764013671875,2620.6999755859374
RCC_BIG,185,74,404,0.1658,0.2358,-0.508,8284.88206028294,3087.5209565033783
RCC_BIG,186,28,114,0.1667,0.2358,-0.501,8377.326485770089,2600.094996861049
RCC_BIG,187,16,147,0.3265,0.2358,0.469,8370.169494628906,1979.2204132080078
RCC_BIG,188,39,594,0.1902,0.2358,-0.31,7960.404872796475,221.33859018179086
RCC_BIG,189,15,270,0.2037,0.2358,-0.211,7979.116536458333,93.50102920532227
RCC_BIG,190,26,378,0.1534,0.2358,-0.62,6677.525634765625,295.8289237389198
RCC_BIG,191,10,157,0.172,0.2358,-0.456,6561.282177734375,27.22529544830322
RCC_BIG,192,15,386,0.2772,0.2358,0.233,7460.367415364583,2247.975520833333
RCC_BIG,193,25,321,0.2555,0.2358,0.115,7562.5528515625,2418.312841796875
RCC_BIG,194,48,520,0.2538,0.2358,0.106,7351.470621744792,2548.32932027181
RCC_BIG,195,15,458,0.1528,0.2358,-0.626,7195.232356770834,511.7678202311198
RCC_BIG,196,49,790,0.2114,0.2358,-0.158,7448.371492346939,571.8988809390944
RCC_BIG,197,31,217,0.1382,0.2358,-0.77,7255.721238659275,2234.6370495211695
RCC_BIG,198,20,314,0.1497,0.2358,-0.656,6807.044165039062,45.18540439605713
RCC_BIG,199,21,383,0.248,0.2358,0.073,6874.513602120535,333.0103599911644
RCC_BIG,200,10,233,0.2618,0.2358,0.151,7015.36416015625,303.21934204101564
RCC_BIG,201,26,500,0.186,0.2358,-0.342,7079.781531700721,397.8311826265775
RCC_BIG,202,10,195,0.2718,0.2358,0.205,3823.2465087890623,85.82807426452636
RCC_BIG,203,54,690,0.1928,0.2358,-0.291,4747.939109519676,96.94085077003196
RCC_BIG,204,29,341,0.2199,0.2358,-0.101,4670.9830111799565,317.3215205751616
RCC_BIG,205,19,229,0.262,0.2358,0.152,4738.7235300164475,1044.109709087171
RCC_BIG,206,11,169,0.1361,0.2358,-0.793,4553.636541193182,497.1697470925071
RCC_BIG,207,25,310,0.1677,0.2358,-0.492,4006.812265625,90.44474639892579
RCC_BIG,208,80,583,0.2316,0.2358,-0.026,5535.11576538086,1519.0930297851562
RCC_BIG,209,470,1761,0.1567,0.2358,-0.589,5518.09311107879,2320.9632760555187
